uid,cProb,pProb,oProb,cEmrgProb,pEmrgProb,oEmrgProb,T3Prob,jpmml,pypmml,pipeline
1,0.01411938,0.057317525,,0.013051895,0.06579302299999999,,0.059893195,0.03300257559702004,0.033002575597020065,0.03300257559702004
2,0.024571158,0.074287601,,0.047021426,0.116466023,,0.037129257,0.02400728858964913,0.02400728858964914,0.02400728858964913
3,0.014456484,0.062954314,,,,,0.054531343,0.030128228092614583,0.03012822809261459,0.030128228092614583
4,0.0076691469999999986,0.0693167,,0.027738333,0.141323641,,0.06644741400000001,0.03179227524524418,0.03179227524524417,0.03179227524524417
5,0.013744383,0.06667888200000001,,0.013744383,0.06667888200000001,,0.02164398,0.011587254258543137,0.011587254258543137,0.011587254258543137
6,0.008782649,0.075438894,0.39912501,0.006427884,0.095624894,,0.029959664,0.007563027062268631,0.007563027062268632,0.007563027062268631
7,0.011850596,0.075723417,,0.016047683,0.117411427,0.394462734,0.0221679,0.0055453965037708655,0.0055453965037708655,0.0055453965037708655
8,0.022457462,0.090146415,0.403841585,0.011620528,0.101433605,0.399429142,0.04957842,0.02014654559218243,0.02014654559218244,0.020146545592182426
9,0.009634972,0.042420778,,0.003924057,0.075515546,0.401236534,0.032167554,0.010296894864241662,0.010296894864241662,0.010296894864241662
